song_name,release_year,song_duration,song_popularity,live
Sad Sad Sad,1989,215,23,FALSE
Mixed Emotions,1989,278.64,30,FALSE
Terrifying,1989,291.5,22,FALSE
Hold On To Your Hat,1989,212.133,19,FALSE
Hearts For Sale,1989,279.75,20,FALSE
Blinded By Love,1989,276.933,21,FALSE
Rock And A Hard Place,1989,325.24,24,FALSE
Can't Be Seen,1989,250.2,21,FALSE
Almost Hear You Sigh,1989,276,28,FALSE
Continental Drift,1989,313.733,18,FALSE
Break The Spell,1989,187.573,16,FALSE
Slipping Away,1989,268.933,39,FALSE
Continental Drift - Live,1991,27.678,0,TRUE
"Start Me Up - Live At Death Valley Stadium, South Carolina, USA / 1989",1991,234.107,7,TRUE
"Sad Sad Sad - Live At Atlantic City Convention Centre, USA / 1989",1991,213.02,4,TRUE
"Miss You - Live At The Gatorbowl, Florida, USA / 1989",1991,355.027,9,TRUE
"Rock And A Hard Place - Live At The Gatorbowl, Florida, USA / 1989",1991,291.968,5,TRUE
"Ruby Tuesday - Live At Korakuen Dome, Japan / 1990",1991,213.493,7,TRUE
"You Can't Always Get What You Want - Live At The Gatorbowl, Florida, USA / 1989",1991,445.733,6,TRUE
"Factory Girl - Live At Wembley Stadium, England / 1990",1991,167.707,3,TRUE
"Can't Be Seen - Live At Death Valley Stadium, South Carolina, USA / 1989",1991,257.093,3,TRUE
"Little Red Rooster - Live At Atlantic City Convention Centre, USA / 1989",1991,315.467,3,TRUE
"Paint It Black - Live At Olympic Stadium, Barcelona, Spain / 1990",1991,242.277,8,TRUE
"Sympathy For The Devil - Live At Korakuen Dome, Japan / 1990",1991,334.96,7,TRUE
"Brown Sugar - Live At Stadia Delle Alpi, Turin, Italy / 1990",1991,250.44,4,TRUE
"Jumpin' Jack Flash - Live At Korakuen Dome, Tokyo, Japan / 1995",1991,299.584,5,TRUE
"(I Can't Get No) Satisfaction - Live At Death Valley Stadium, South Carolina, USA / 1989",1991,368.6,6,TRUE
Highwire,1991,286.533,3,FALSE
Sex Drive,1991,267.6,5,FALSE
Love Is Strong,1994,228.867,35,FALSE
You Got Me Rocking,1994,216.133,33,FALSE
Sparks Will Fly,1994,195.467,24,FALSE
